,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
351,Torbay,47.6666,-52.7314,0.56,100,90,7.2,CA,1616813841
352,Kiama,-34.6833,150.8667,27.22,47,77,0.89,AU,1616813842
353,Buala,-8.145,159.5921,29.93,69,85,4.52,SB,1616813842
354,Kupino,54.3663,77.2981,-7.53,93,98,3.36,RU,1616813842
355,Novoagansk,61.9449,76.6625,0.03,98,100,2.85,RU,1616813842
356,San Fernando del Valle de Catamarca,-28.4696,-65.7852,15.56,99,100,5.98,AR,1616813568
357,Aborlan,9.4352,118.5492,31.0,66,20,5.14,PH,1616813843
358,Xiongzhou,25.1167,114.3,25.52,59,78,3.07,CN,1616813843
359,Rantepao,-2.9701,119.8978,21.98,94,100,0.48,ID,1616813843
360,Bacabal,-4.2917,-44.7917,22.47,99,100,2.38,BR,1616813844
361,Murupara,-38.4667,176.7,21.67,62,88,1.79,NZ,1616813844
362,Yulara,-25.2406,130.9889,29.0,45,75,7.72,AU,1616813844
363,Bintulu,3.1667,113.0333,27.0,83,20,2.06,MY,1616813845
364,Parabel',58.6978,81.4825,0.13,97,100,4.61,RU,1616813845
365,Korhogo,9.45,-5.6333,25.92,21,2,2.06,CI,1616813845
366,Nuuk,64.1835,-51.7216,-26.8,74,3,7.2,GL,1616813845
367,Tautira,-17.7333,-149.15,31.0,55,40,2.57,PF,1616813846
368,Oodweyne,9.4092,45.064,18.03,46,21,3.8,SO,1616813846
369,Nanning,22.8167,108.3167,23.0,88,90,3.0,CN,1616813846
370,Vanimo,-2.6741,141.3028,29.27,68,98,2.09,PG,1616813847
371,Buraidah,26.326,43.975,19.0,37,0,7.72,SA,1616813847
372,Chudniv,50.052,28.1175,3.04,87,92,1.18,UA,1616813847
373,Hirara,24.8,125.2833,25.0,78,40,7.72,JP,1616813847
374,Port Elizabeth,-33.918,25.5701,17.78,75,1,0.89,ZA,1616813848
375,Panama City,8.9936,-79.5197,27.0,74,75,4.63,PA,1616813816
376,Luena,-11.7833,19.9167,16.43,99,100,0.81,AO,1616813848
377,Najrān,17.4924,44.1277,18.0,22,0,2.06,SA,1616813848
378,Yuzhno-Kurilsk,44.0306,145.8556,0.07,63,6,6.24,RU,1616813849
379,Comodoro Rivadavia,-45.8667,-67.5,12.0,82,0,1.03,AR,1616813828
380,Fort Morgan,40.2503,-103.8,1.0,93,40,1.54,US,1616813849
381,Dzhebariki-Khaya,62.2167,135.8,-5.39,91,100,2.4,RU,1616813849
382,Gigmoto,13.7796,124.39,28.68,73,70,4.28,PH,1616813849
383,Ayagoz,47.9714,80.4392,1.53,100,100,5.44,KZ,1616813850
384,Semnan,35.5729,53.3971,14.16,42,1,0.33,IR,1616813850
385,Simao,22.7886,100.9748,26.24,17,4,2.66,CN,1616813850
386,Anloga,5.7947,0.8973,28.0,83,20,5.14,GH,1616813851
387,La Providencia,28.7167,-111.5833,16.11,60,0,1.34,MX,1616813851
388,Salinópolis,-0.6136,-47.3561,24.02,89,100,2.23,BR,1616813851
389,Adrar,20.5022,-10.0711,21.64,7,0,4.84,MR,1616813852
390,Ust-Nera,64.5667,143.2,-15.57,88,100,2.43,RU,1616813852
391,Tarnogskiy Gorodok,60.4997,43.5761,-5.87,99,79,1.01,RU,1616813852
392,Zhigalovo,54.8097,105.1578,-0.16,70,97,5.24,RU,1616813853
393,Port Hawkesbury,45.6169,-61.3485,12.0,94,90,2.57,CA,1616813853
394,Rohnert Park,38.3396,-122.7011,18.0,47,1,2.06,US,1616813853
395,Arona,28.0996,-16.681,18.33,77,20,7.72,ES,1616813854
396,Anadyr,64.75,177.4833,-18.0,78,20,5.0,RU,1616813854
397,São João da Barra,-21.6403,-41.0511,24.46,85,7,3.4,BR,1616813854
398,Bayburt,40.2589,40.2278,-7.29,95,100,1.84,TR,1616813854
399,San Quintín,30.4833,-115.95,13.01,71,3,5.65,MX,1616813855
400,Ostrovnoy,68.0531,39.5131,-5.08,95,50,10.45,RU,1616813855
401,Virden,39.5009,-89.7679,11.11,88,100,1.79,US,1616813855
402,Enterprise,36.0252,-115.2419,17.22,15,20,6.69,US,1616813769
403,Teguise,29.0605,-13.564,17.0,88,0,2.57,ES,1616813856
404,Kariba,-16.5167,28.8,20.1,82,66,1.63,ZW,1616813856
405,Santiago,-33.4569,-70.6483,20.0,34,0,4.12,CL,1616813369
406,Grand Baie,-20.0182,57.5802,25.56,85,21,0.91,MU,1616813856
407,Chilca,-12.5211,-76.7372,22.22,78,0,4.63,PE,1616813856
408,Redmond,47.674,-122.1215,10.56,81,100,1.63,US,1616813857
409,Dalvik,65.9702,-18.5286,-9.0,73,40,1.03,IS,1616813857
410,Tazovsky,67.4667,78.7,-13.82,95,97,6.53,RU,1616813858
411,Pangnirtung,66.1451,-65.7125,-30.69,82,9,2.52,CA,1616813858
412,Lompoc,34.6391,-120.4579,12.0,82,1,4.63,US,1616813858
413,Mama,58.3106,112.8986,-0.39,85,99,1.76,RU,1616813858
414,Zittau,50.9,14.8333,9.44,67,97,4.02,DE,1616813840
415,Kibakwe,-6.7167,36.3667,16.99,98,100,1.72,TZ,1616813859
416,Rawson,-43.3002,-65.1023,15.14,65,68,3.21,AR,1616813859
417,Nampula,-15.1165,39.2666,20.7,96,70,0.39,MZ,1616813859
418,Cayenne,4.9333,-52.3333,26.67,83,40,3.6,GF,1616813860
419,Manaus,-3.1019,-60.025,25.0,94,40,2.06,BR,1616813860
420,Shingū,33.7333,135.9833,17.0,48,75,3.09,JP,1616813860
421,Phek,25.6667,94.5,21.07,16,0,0.49,IN,1616813600
422,Virginia Beach,36.8529,-75.978,24.0,64,20,3.6,US,1616813727
423,Valparaíso,-33.0393,-71.6273,11.0,93,0,1.03,CL,1616813676
424,Seddon,-37.8068,144.8916,22.22,55,75,4.63,AU,1616813861
425,Vilyuysk,63.7553,121.6247,-5.05,88,92,3.91,RU,1616813861
426,Sokoni,-6.4333,39.55,24.0,94,40,2.06,TZ,1616813861
427,Ugoofaaru,5.6667,73.0,28.92,73,100,5.45,MV,1616813862
428,Ukiah,39.1502,-123.2078,20.0,32,1,2.57,US,1616813702
429,Salalah,17.0151,54.0924,23.0,27,0,1.54,OM,1616813862
430,Oranjemund,-28.55,16.4333,15.61,83,0,2.43,NA,1616813712
431,Nizwá,22.9333,57.5333,26.12,29,40,1.03,OM,1616813862
432,Kingman,35.1894,-114.053,11.0,37,1,5.14,US,1616813863
433,Berlevåg,70.8578,29.0864,1.37,80,93,12.37,NO,1616813863
434,Dalby,-27.1833,151.2667,30.0,29,1,1.34,AU,1616813863
435,Ailigandí,9.2333,-78.0167,26.46,77,99,6.31,PA,1616813864
436,Bandar-e Lengeh,26.5579,54.8807,24.0,88,100,2.06,IR,1616813864
437,Keti Bandar,24.1447,67.4497,26.62,60,5,6.5,PK,1616813864
438,Katherine,-14.4667,132.2667,34.0,49,86,7.2,AU,1616813864
439,Ippy,6.2679,21.2247,19.55,92,97,1.3,CF,1616813865
440,Wanning,18.8003,110.3967,27.43,67,29,4.14,CN,1616813865
441,Cehegín,38.0924,-1.7985,13.33,80,3,1.64,ES,1616813865
442,Nadadores,27.05,-101.6,24.44,17,1,0.82,MX,1616813866
443,Narsaq,60.9167,-46.05,-14.0,40,75,5.66,GL,1616813866
444,Sakaiminato,35.55,133.2333,15.0,44,75,3.6,JP,1616813866
445,Codrington,-38.2667,141.9667,18.48,54,3,7.0,AU,1616813866
446,Fomboni,-12.28,43.7425,28.33,72,47,2.7,KM,1616813867
447,Kabarnet,0.4919,35.743,12.23,56,100,1.14,KE,1616813867
448,Banikoara,11.2985,2.4386,29.36,14,79,3.83,BJ,1616813867
449,Nara,34.6851,135.8049,20.56,39,75,0.51,JP,1616813868
450,Kungälv,57.871,11.9805,6.67,94,80,4.5,SE,1616813656
451,Haines Junction,60.7522,-137.5108,3.0,48,91,2.06,CA,1616813868
452,Blagoyevo,63.3667,47.9167,-8.83,98,86,1.12,RU,1616813868
453,Akdağmadeni,39.6603,35.8836,-4.17,93,100,4.12,TR,1616813869
454,Popondetta,-8.7537,148.2534,32.88,52,97,3.37,PG,1616813869
455,Calama,-22.4667,-68.9333,14.0,24,0,0.4,CL,1616813648
456,Batemans Bay,-35.7167,150.1833,21.11,67,98,0.45,AU,1616813869
457,Old Shinyanga,-3.55,33.4,17.29,96,97,2.4,TZ,1616813869
458,Conneaut,41.9476,-80.5542,9.0,81,90,2.06,US,1616813870
459,Sawtell,-30.3833,153.1,26.0,61,7,4.63,AU,1616813870
460,Bozeman,45.6796,-111.0386,4.44,48,90,7.2,US,1616813696
461,Jalu,29.0331,21.5482,9.34,52,0,2.82,LY,1616813870
462,Novobirilyussy,56.9514,90.6661,-2.12,86,98,4.84,RU,1616813870
463,Dubbo,-32.25,148.6167,25.0,33,18,5.66,AU,1616813871
464,Bima,-8.4667,118.7167,29.77,69,99,2.22,ID,1616813871
465,Inverell,-29.7833,151.1167,25.0,50,6,3.13,AU,1616813871
466,Samarai,-10.6167,150.6667,29.36,72,89,5.81,PG,1616813872
467,Cedral,23.8,-100.7333,21.71,8,98,4.48,MX,1616813872
468,Qixingtai,30.4135,111.8874,18.89,72,89,2.77,CN,1616813872
469,Marzuq,14.4,46.4667,15.73,25,54,2.71,YE,1616813873
470,Papenburg,53.0667,7.4,5.56,93,100,4.63,DE,1616813873
471,Hambantota,6.1241,81.1185,24.0,100,75,1.54,LK,1616813873
472,Chu,43.5983,73.7614,13.6,72,22,4.2,KZ,1616813873
473,Chuguyevka,44.1653,133.8633,10.15,55,95,5.32,RU,1616813874
474,Half Moon Bay,37.4636,-122.4286,16.0,81,1,5.66,US,1616813874
475,Bell Ville,-32.6259,-62.6887,13.33,95,0,1.79,AR,1616813874
476,Aracati,-4.5617,-37.7697,25.13,85,98,2.83,BR,1616813875
477,Grândola,38.1772,-8.5668,10.56,79,100,1.34,PT,1616813875
478,Culebra,18.303,-65.301,26.0,65,1,5.14,PR,1616813875
479,Whitecourt,54.1502,-115.6855,0.0,55,40,2.06,CA,1616813875
480,Tanout,14.9709,8.8879,17.53,14,3,7.85,NE,1616813876
481,Peniche,39.3558,-9.3811,11.67,83,98,1.34,PT,1616813598
482,Portland,45.5234,-122.6762,11.11,66,55,0.43,US,1616813731
483,Mazyr,52.0495,29.2456,1.91,89,70,2.47,BY,1616813876
484,Saint-Augustin,51.226,-58.6502,-9.81,78,100,7.81,CA,1616813876
485,Karratha,-20.7377,116.8463,31.82,47,1,2.1,AU,1616813877
486,Kayes,14.0,-11.0,29.81,5,2,4.33,ML,1616813877
487,George Town,5.4112,100.3354,29.0,78,20,2.57,MY,1616813877
488,Luanda,-8.8368,13.2343,25.0,88,75,1.54,AO,1616813859
489,Borazjan,29.2666,51.2159,22.0,73,2,3.09,IR,1616813878
490,Huanren,41.2647,125.3667,10.73,55,100,3.35,CN,1616813878
491,Rāyagada,19.1667,83.4167,32.42,29,2,0.77,IN,1616813878
492,Chirongui,-12.9319,45.1483,25.0,88,0,1.03,YT,1616813879
493,Arrondissement de Bastia,42.6667,9.3333,11.67,93,75,2.57,FR,1616813879
494,Martapura,-3.4167,114.85,30.0,74,40,5.14,ID,1616813879
495,Henties Bay,-22.116,14.2845,16.11,95,90,1.34,NA,1616813879
496,Nyagan,62.1406,65.3936,-3.39,92,92,4.58,RU,1616813880
497,Vestmannaeyjar,63.4427,-20.2734,-6.02,56,12,4.58,IS,1616813742
498,Darhan,49.4867,105.9228,0.29,74,100,11.91,MN,1616813880
499,Ardrishaig,56.0157,-5.4481,4.0,81,20,9.26,GB,1616813880
500,Aksarka,66.5606,67.7975,-19.68,99,88,0.77,RU,1616813881
501,Ketchikan,55.3422,-131.6461,6.0,100,90,4.63,US,1616813881
502,Birsk,55.4211,55.5428,0.23,98,100,3.4,RU,1616813881
503,Fairbanks,64.8378,-147.7164,-3.0,68,90,1.54,US,1616813702
504,Krasnosel'kup,65.7,82.4667,-11.7,93,35,5.25,RU,1616813882
505,Chui,-33.6971,-53.4616,20.44,95,100,0.98,UY,1616813882
506,Belaya Gora,68.5333,146.4167,-17.49,81,98,1.67,RU,1616813882
507,Aklavik,68.2191,-135.0107,-20.0,71,73,2.57,CA,1616813883
508,Laguna,38.421,-121.4238,21.0,18,1,4.12,US,1616813883
509,Kanigoro,-8.13,112.219,29.73,66,100,2.19,ID,1616813883
510,Gulbarga,17.3333,76.8333,31.22,20,6,2.71,IN,1616813883
511,Dori,14.0354,-0.0345,25.48,13,0,5.84,BF,1616813884
512,Chulumani,-16.4096,-67.5263,17.34,97,97,0.25,BO,1616813884
513,College,64.8569,-147.8028,-3.0,54,90,0.15,US,1616813885
514,Yarim,14.298,44.3779,9.7,21,7,1.43,YE,1616813886
515,Nālūt,30.3333,10.85,10.53,35,0,4.8,LY,1616813886
516,Tenabo,20.05,-90.2333,26.17,59,1,1.92,MX,1616813886
517,Ngunguru,-35.6167,174.5,21.11,76,98,3.13,NZ,1616813887
518,Kyabé,9.4515,18.9449,25.25,57,67,2.05,TD,1616813887
519,Palamós,41.8484,3.1291,12.22,87,99,1.54,ES,1616813887
520,Mogocha,53.7333,119.7667,-0.62,79,100,1.84,RU,1616813888
521,Shache,38.4167,77.2406,17.9,21,46,1.75,CN,1616813888
522,Batagay-Alyta,67.8006,130.4114,-15.23,87,100,1.77,RU,1616813888
523,Simpang,-1.2667,104.0833,28.94,77,72,0.66,ID,1616813889
524,Camacha,33.0833,-16.3333,17.0,94,40,6.69,PT,1616813889
525,Jiexiu,37.0244,111.9125,16.33,37,1,2.82,CN,1616813889
526,Corleone,37.8134,13.3017,10.56,78,19,1.92,IT,1616813889
527,Port Augusta,-32.5,137.7667,22.78,60,75,4.63,AU,1616813890
528,Muros,42.7762,-9.0603,4.44,93,0,4.78,ES,1616813890
529,Canutama,-6.5339,-64.3831,22.95,97,80,1.05,BR,1616813890
530,Srednekolymsk,67.45,153.6833,-14.76,72,20,1.93,RU,1616813890
531,Lhokseumawe,5.1801,97.1507,28.44,71,98,3.32,ID,1616813835
532,Miechów,50.3565,20.0279,5.56,87,82,1.54,PL,1616813816
533,Sayville,40.7359,-73.0821,16.0,44,20,13.89,US,1616813647
534,Nurobod,40.9056,69.8023,13.0,82,15,2.06,UZ,1616813891
535,Grasse,43.6667,6.9167,11.0,93,90,0.51,FR,1616813891
536,Aleksandrov Gay,50.147,48.5704,-2.73,83,97,6.11,RU,1616813892
537,Kungurtug,50.5994,97.5228,-5.22,62,26,1.01,RU,1616813892
538,Sisimiut,66.9395,-53.6735,-24.38,95,67,4.9,GL,1616813892
539,Araouane,18.9048,-3.5265,20.68,8,0,5.2,ML,1616813893
540,Poli,-3.3333,36.8,19.0,94,40,3.09,TZ,1616813893
541,San-Pédro,4.7485,-6.6363,25.26,91,0,2.6,CI,1616813893
542,Rundu,-17.9333,19.7667,18.53,87,82,0.05,NA,1616813893
543,Nanfeng,23.7434,111.7959,26.65,62,84,1.21,CN,1616813894
544,Laas,46.6166,10.7002,10.0,93,0,2.06,IT,1616813894
545,Sioux Lookout,50.1001,-91.917,2.0,60,90,2.06,CA,1616813894
546,Bodden Town,19.2833,-81.25,26.11,83,20,1.54,KY,1616813895
547,Paphos,34.7667,32.4167,6.0,70,53,3.09,CY,1616813895
548,Manresa,41.725,1.8266,12.78,87,100,0.46,ES,1616813895
549,Seoul,37.5683,126.9778,16.0,39,90,2.57,KR,1616813469
550,Isangel,-19.55,169.2667,28.0,83,75,3.09,VU,1616813896
551,Cockburn Town,21.4612,-71.1419,25.27,75,2,9.95,TC,1616813896
552,Sakakah,29.9697,40.2064,11.0,54,0,5.14,SA,1616813896
553,Kumul,42.8,93.45,15.26,27,85,6.29,CN,1616813897
554,Mount Gambier,-37.8333,140.7667,18.0,59,22,7.2,AU,1616813897
555,Etchoropo,26.7667,-109.6667,13.33,75,94,1.47,MX,1616813897
556,Puerto del Rosario,28.5004,-13.8627,16.0,77,20,0.51,ES,1616813781
557,Kailua,21.4022,-157.7394,29.0,73,1,3.6,US,1616813897
558,Timmins,48.4669,-81.3331,-4.0,74,20,2.57,CA,1616813571
559,Koumac,-20.5667,164.2833,28.22,67,37,3.83,NC,1616813898
560,Avera,33.194,-82.5271,19.0,93,90,2.14,US,1616813898
561,Jaciara,-15.9653,-54.9683,20.86,78,32,1.21,BR,1616813898
562,Faanui,-16.4833,-151.75,28.48,73,20,9.92,PF,1616813899
563,Strathmore,51.0501,-113.3852,2.0,75,100,1.03,CA,1616813899
564,Sabla,12.7525,4.7077,25.06,11,22,8.49,NG,1616813899
565,Kiryat Gat,31.61,34.7642,10.0,100,54,3.07,IL,1616813899
566,Conceição do Rio Verde,-21.8808,-45.0853,18.25,91,16,0.58,BR,1616813900
567,Myitkyina,25.3833,97.4,30.31,19,4,0.45,MM,1616813900
568,Esperanza,19.5847,-70.9849,22.22,81,0,1.34,DO,1616813900
569,Vieste,41.8825,16.175,7.0,87,0,1.54,IT,1616813900
570,Amapá,1.0,-52.0,21.42,99,100,0.92,BR,1616813901
571,Nicoya,10.1483,-85.452,28.0,54,0,6.69,CR,1616813901
572,Kumano,34.3442,132.5894,15.0,36,0,2.06,JP,1616813901
573,Matara,5.9485,80.5353,27.75,75,100,4.25,LK,1616813902
574,Ende,-8.8432,121.6623,29.82,69,100,2.09,ID,1616813902
575,Cerrito,6.8432,-72.694,20.0,100,75,4.12,CO,1616813902
576,Sardarpur,22.678,74.9484,29.1,13,0,1.46,IN,1616813902
577,Asău,46.4333,26.4,1.11,56,64,2.06,RO,1616813903
578,Ayan,56.45,138.1667,-8.75,87,93,1.77,RU,1616813903
579,Poum,-20.2333,164.0167,27.12,71,6,5.04,NC,1616813903
580,Mt. Pleasant,32.7941,-79.8626,22.0,94,75,3.03,US,1616813814
581,Hwange,-18.3693,26.5019,19.0,87,17,1.35,ZW,1616813904
582,Morros,-9.4467,-46.3003,21.7,86,98,0.96,BR,1616813904
583,Williston,48.147,-103.618,3.89,47,100,0.71,US,1616813904
584,Havøysund,70.9963,24.6622,2.0,69,79,4.63,NO,1616813905
